record_id,bundle_id,case_id,abm,llm,evidence,prompt,role,insights,example,summarizer,repetition,reference_family,summary_output_path,BLEU,METEOR,R-1,R-2,R-L,Reading ease
01_fauna_none_plot_rep1__bart__modeler,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,bart,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bart.txt,0.021378,0.142530,0.370983,0.086477,0.165289,26.775795
01_fauna_none_plot_rep1__bert__modeler,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,bert,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/bert.txt,0.023420,0.283616,0.433573,0.096976,0.162110,6.510098
01_fauna_none_plot_rep1__longformer_ext__modeler,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,longformer_ext,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/longformer_ext.txt,0.011041,0.119096,0.274102,0.047348,0.122873,26.993056
01_fauna_none_plot_rep1__none__modeler,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,none,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/none.txt,0.016858,0.268582,0.231399,0.079271,0.100818,20.569375
01_fauna_none_plot_rep1__t5__modeler,01_fauna_none_plot_rep1,01_fauna_none_plot_rep1,fauna,moonshotai/kimi-k2.5,plot,none,False,False,False,t5,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_fauna_none_plot_rep1/02_summaries/t5.txt,0.014956,0.128113,0.323501,0.062917,0.148430,29.075570
01_milk_consumption_none_plot_rep1__bart__modeler,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,moonshotai/kimi-k2.5,plot,none,False,False,False,bart,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bart.txt,0.027782,0.144975,0.382353,0.147392,0.185520,30.400897
01_milk_consumption_none_plot_rep1__bert__modeler,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,moonshotai/kimi-k2.5,plot,none,False,False,False,bert,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/bert.txt,0.041156,0.271943,0.456958,0.143876,0.172168,-1.715341
01_milk_consumption_none_plot_rep1__longformer_ext__modeler,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,moonshotai/kimi-k2.5,plot,none,False,False,False,longformer_ext,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/longformer_ext.txt,0.001927,0.089469,0.202500,0.030075,0.102500,23.105000
01_milk_consumption_none_plot_rep1__none__modeler,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,moonshotai/kimi-k2.5,plot,none,False,False,False,none,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/none.txt,0.033194,0.296414,0.306896,0.164712,0.161352,23.761073
01_milk_consumption_none_plot_rep1__t5__modeler,01_milk_consumption_none_plot_rep1,01_milk_consumption_none_plot_rep1,milk_consumption,moonshotai/kimi-k2.5,plot,none,False,False,False,t5,1,modeler,results/kimi-k2.5_all_abms_chain/05_summarizer_smoke_latest/runs/run_20260313_134646_630384/bundles/01_milk_consumption_none_plot_rep1/02_summaries/t5.txt,0.010361,0.115047,0.316290,0.092968,0.156956,34.600613
