Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,1.02879404,0.02108514,0.56222478,4.87543318,1.03676802,1.11629555
Evidence_AND_Example,1.27209855,0.09351993,0.58985957,5.06698400,1.16097175,3.27104946
Evidence_AND_Insights,1.08044858,0.02637622,0.59814881,5.20805199,1.34430815,3.69962889
Evidence_AND_Role,1.58038742,0.24335023,0.77359602,7.45617390,2.42483936,1.90042116
Evidence_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example,0.00255377,0.07210929,0.00963822,0.02863601,0.04973861,1.94591497
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights,0.02566335,0.00115951,0.03161716,0.31930177,0.30738512,2.24549561
Insights_AND_Example,0.02821770,0.07410890,0.04345118,0.35690484,0.35768883,4.33273149
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Role,0.11931464,0.19460430,0.13682863,2.17136560,1.32462637,0.63135789
Role_AND_Example,0.12944508,0.26672139,0.14709917,2.22527507,1.38178915,2.57762947
Role_AND_Insights,0.14507231,0.19637080,0.17305803,2.49796806,1.63298074,2.89810134
Role_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Summarizer,17.77090293,19.57553783,18.88657702,9.55833187,16.80105156,13.48345758
Summarizer_AND_Evidence,21.73194399,19.96463056,20.41020385,15.96614420,19.00284597,15.61811691
Summarizer_AND_Example,18.95907246,19.78452114,19.38698320,10.49188818,17.48475977,15.78527928
Summarizer_AND_Insights,18.03153180,19.62508571,19.04465311,10.02477417,17.21624914,15.90053283
Summarizer_AND_Role,18.09455339,19.86081905,19.20606124,12.37906913,18.47399746,14.59398757
