Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,0.02237174,0.09105606,0.39583440,1.08399028,0.92911277,0.79795254
Evidence_AND_Example,0.19506017,0.33925907,0.58067783,1.44410594,1.01187662,2.58659185
Evidence_AND_Insights,0.45135679,0.22466270,0.93083192,1.78280878,2.40279341,4.95918438
Evidence_AND_Role,0.09620658,0.15507921,0.46206614,1.15067431,0.97127860,1.93724794
Evidence_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example,0.10137003,0.24218865,0.18440007,0.35038733,0.07824927,1.76595417
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights,0.38547688,0.00725215,0.27564647,0.66320883,1.43959978,4.14070661
Insights_AND_Example,0.53177412,0.24947743,0.48965517,1.01565300,1.51799247,5.99435325
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Role,0.01167513,0.06191787,0.00724402,0.01692870,0.01930206,0.79190762
Role_AND_Example,0.49172644,0.30921259,0.38498930,0.65105166,0.52872081,2.63802498
Role_AND_Insights,0.44621278,0.07009316,0.33019701,0.84517403,1.73222995,4.94865669
Role_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Summarizer,10.46025360,19.26035623,17.56646433,6.56055826,6.59030123,9.01737752
Summarizer_AND_Evidence,12.04008310,19.64056279,19.75259970,8.48500390,9.19179543,10.17314554
Summarizer_AND_Example,10.73920184,19.58004646,18.25610558,7.03314576,6.98064410,11.71052877
Summarizer_AND_Insights,11.85251573,19.65882355,18.68581503,7.51311744,8.66141676,13.53658903
Summarizer_AND_Role,11.91583860,20.11001209,19.50722607,7.25646866,9.57008789,13.83606736
