Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,0.29098033,0.01228836,0.16381817,0.91010226,0.41506638,0.76065158
Evidence_AND_Example,0.42878525,0.08597274,0.28990440,1.04003059,0.47857493,2.76212229
Evidence_AND_Insights,0.32962227,0.03061437,0.20074187,1.06012137,0.76664260,4.99731800
Evidence_AND_Role,0.76314897,0.01713399,0.17443119,0.94028285,0.56156805,1.69003151
Evidence_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example,0.00779353,0.07141344,0.11646650,0.06074349,0.03101504,1.97436099
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights,0.00810228,0.00497400,0.02050319,0.14039833,0.31695925,4.20823642
Insights_AND_Example,0.01782366,0.07729717,0.14322031,0.21822659,0.34928681,6.27191210
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Role,0.40523993,0.00472652,0.00239966,0.01886383,0.12083117,0.64967277
Role_AND_Example,0.42090875,0.08312462,0.12985401,0.10052883,0.20962373,2.68053277
Role_AND_Insights,0.43635187,0.01023289,0.02935438,0.21224713,0.48667343,4.87531677
Role_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Summarizer,17.87602741,19.72778038,19.32852642,15.69812275,18.27456712,11.46542994
Summarizer_AND_Evidence,18.89042964,19.97666244,19.97581333,17.81498696,19.59285578,12.48905546
Summarizer_AND_Example,18.14109805,19.83335149,19.55486230,15.85597551,18.35918869,14.19253382
Summarizer_AND_Insights,18.73919592,19.92319705,19.66288508,16.77333102,19.03614759,16.01827877
Summarizer_AND_Role,23.24449215,20.14123055,20.20721920,19.23046056,21.00099943,14.96454682
