Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,0.12539196,0.06626732,1.67184688,1.75963442,1.64853177,0.61712879
Evidence_AND_Example,0.23701202,0.06635531,1.80127148,1.81214179,1.80926034,1.03849145
Evidence_AND_Insights,0.21330105,0.25142972,1.72956036,2.37933134,2.58876917,1.60788241
Evidence_AND_Role,0.18372414,0.09335114,2.60307046,6.33880723,4.34166225,0.98775088
Evidence_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example,0.00345872,0.00000010,0.00074683,0.00700900,0.02687538,0.39641389
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights,0.04306595,0.17992727,0.02335924,0.54541076,0.86595555,0.52799449
Insights_AND_Example,0.07492114,0.18792713,0.07668053,0.58817395,0.92306543,1.02772442
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Role,0.02583680,0.01763227,0.89258930,4.56304861,2.68104193,0.05298117
Role_AND_Example,0.02938790,0.01801167,0.91058131,4.57005766,2.72493433,0.45180412
Role_AND_Insights,0.10395731,0.19872741,0.91723563,5.11930343,3.55589597,0.62412992
Role_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Summarizer,9.88357880,19.65065767,13.38383752,12.74969600,14.41042444,9.60118328
Summarizer_AND_Evidence,10.68306201,19.84597411,16.44132804,15.11341062,16.54187315,10.55064027
Summarizer_AND_Example,9.93957954,19.66906092,13.49330189,12.89300284,14.48715967,11.47372030
Summarizer_AND_Insights,11.34484385,20.00191382,16.60442318,13.70465753,15.88026666,10.19022496
Summarizer_AND_Role,15.03533320,19.75276415,15.00832180,17.85631482,17.51428395,10.14963093
