Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,0.05567745,0.07379489,0.08033838,1.44874897,1.02829653,0.95502388
Evidence_AND_Example,0.11875882,0.29465126,0.45588461,1.81087744,1.31612477,2.88236249
Evidence_AND_Insights,0.09877875,0.09694456,0.10158952,1.54827526,1.25836419,3.50232352
Evidence_AND_Role,1.38716223,0.25184531,0.48809527,4.17758579,2.81598913,1.77800176
Evidence_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example,0.00635736,0.20285154,0.34838950,0.07382598,0.11369624,1.72781601
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights,0.00179777,0.00990334,0.00003458,0.02290726,0.20866700,2.15829053
Insights_AND_Example,0.00965538,0.21423373,0.34924381,0.09690544,0.32532174,4.02578156
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Role,1.25021775,0.16558348,0.36576747,2.57392534,1.72141868,0.65134933
Role_AND_Example,1.27198691,0.37082605,0.71473923,2.64837628,1.84135365,2.37974857
Role_AND_Insights,1.25204446,0.17781119,0.37988993,2.62820035,1.93018028,2.84629402
Role_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Summarizer,18.16408813,19.49370829,18.92196831,15.55954950,16.24620922,13.82037450
Summarizer_AND_Evidence,19.71051170,19.65699940,19.90097632,17.39761369,18.95807797,16.04111973
Summarizer_AND_Example,18.72023811,19.73921746,19.51092454,15.74902116,17.02840020,15.94989201
Summarizer_AND_Insights,18.25885834,19.53602741,19.08122825,15.72562501,16.76536260,16.18233172
Summarizer_AND_Role,19.69386684,19.71560210,19.30093028,18.53856252,18.44253781,15.09929037
