Feature,BLEU,Coverage (Claude),Faithfulness (GPT),Flesch Reading Ease,METEOR,ROUGE-1,ROUGE-2,ROUGE-L
Case_study,76.62,5.10,2.34,32.00,44.40,86.04,86.20,83.60
Case_study_AND_Example,0.04,0.30,1.77,1.94,0.45,0.38,0.23,0.21
Case_study_AND_Insight,0.02,0.44,0.99,0.67,0.04,0.02,0.00,0.05
Case_study_AND_LLM,7.02,4.32,1.62,0.87,8.20,4.73,5.27,4.53
Case_study_AND_Role,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Case_study_AND_Summary,4.77,1.59,4.06,0.89,2.95,2.29,1.24,3.74
Example,0.08,0.01,0.17,3.54,0.13,0.07,0.01,0.02
Example_AND_Insight,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Example_AND_LLM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Example_AND_Role,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Example_AND_Summary,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Insight,0.01,0.29,0.02,7.99,0.06,0.04,0.09,0.14
Insight_AND_Example,0.00,0.15,0.08,0.02,0.19,0.08,0.04,0.05
Insight_AND_LLM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Insight_AND_Role,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Insight_AND_Summary,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LLM,1.86,33.57,32.06,11.23,5.73,0.94,0.41,0.34
LLM_AND_Example,0.07,11.80,1.85,1.48,0.63,0.25,0.28,0.18
LLM_AND_Insight,0.01,0.05,0.50,1.55,0.05,0.03,0.05,0.03
LLM_AND_Role,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LLM_AND_Summary,0.40,0.62,1.89,0.01,0.02,0.85,0.02,1.36
Role,0.01,3.16,0.02,0.27,0.00,0.00,0.08,0.07
Role_AND_Case_study,0.28,0.51,1.63,1.13,0.03,0.08,0.34,0.33
Role_AND_Example,0.02,0.01,0.00,0.22,0.00,0.01,0.06,0.01
Role_AND_Insight,0.05,0.15,1.93,0.34,0.04,0.02,0.01,0.00
Role_AND_LLM,0.14,1.34,0.73,0.55,0.06,0.05,0.16,0.06
Role_AND_Summary,0.02,0.29,0.95,0.03,0.01,0.02,0.01,0.02
Summary,2.18,0.01,0.31,0.05,32.63,0.27,1.37,1.35
Summary_AND_Example,0.03,0.72,0.02,0.01,0.11,0.01,0.01,0.04
Summary_AND_Insight,0.30,0.05,0.48,0.12,0.04,0.00,0.01,0.01
