Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,1.03596710,0.00090130,0.32542574,3.32797399,2.10846317,0.58013379
Evidence_AND_Example,1.27818539,0.04310568,0.40956729,3.54245290,2.35557490,2.38852241
Evidence_AND_Insights,1.14770715,0.00933033,0.47187474,3.89515480,3.43397965,3.10627262
Evidence_AND_Role,2.60095914,0.02546081,0.41515735,4.25768960,2.71513480,0.81067043
Evidence_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example,0.09177759,0.03866615,0.02659570,0.01170414,0.08353026,1.72017177
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights,0.10842177,0.00649395,0.13902720,0.52198241,1.29187440,2.22090284
Insights_AND_Example,0.22449110,0.04602962,0.16832013,0.56436047,1.40208557,4.05890512
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Role,1.43436636,0.00916046,0.02918587,0.78239631,0.50709034,0.16188231
Role_AND_Example,1.53077806,0.04857677,0.06299615,0.79841981,0.65339910,1.93142477
Role_AND_Insights,1.54292424,0.01618337,0.17444004,1.32855012,1.84854320,2.42308019
Role_AND_Summarizer,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Summarizer,16.39132668,19.86164271,18.87457077,14.63517817,14.65879946,14.92982905
Summarizer_AND_Evidence,20.59685313,20.16817932,21.27893678,20.13089239,21.15000127,16.26449122
Summarizer_AND_Example,17.12204861,19.95598561,19.43244560,15.03279291,15.71941369,16.80559911
Summarizer_AND_Insights,17.01481305,19.88979801,19.22368148,15.38396556,16.49719908,17.26092375
Summarizer_AND_Role,17.87938063,19.88048591,18.96777518,15.78648643,15.57491110,15.33719064
