Feature,BLEU,METEOR,R-1,R-2,R-L,Reading ease
Evidence,8.77481547,23.97363663,13.39687541,12.15323358,6.54253733,5.76139114
Evidence_AND_Example,9.49067629,24.48325941,13.73657560,12.34938895,6.69600221,7.85983090
Evidence_AND_Insights,16.00919823,24.15752432,20.93238544,15.33707058,9.57666653,20.41262614
Evidence_AND_Role,17.38071174,24.46709548,17.36391860,21.85689226,21.91935077,8.47218268
Example,0.33813224,0.37380173,0.15126232,0.06239955,0.06882906,1.81133311
Example_AND_Insights,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Example_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Insights,6.99880332,0.05913102,7.41477979,2.99948046,2.98398431,14.63403064
Insights_AND_Example,7.75660001,0.60453589,7.58782730,3.11442628,3.07248364,16.61499711
Insights_AND_Role,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Role,8.46181602,0.44863637,3.94564388,9.67449663,15.32380531,2.63097195
Role_AND_Example,8.81904898,0.89343708,4.09748019,9.73831569,15.39830831,4.50795086
Role_AND_Insights,15.97019771,0.53894207,11.37325146,12.71429602,18.41803253,17.29468546
