plot_index,reporter_pattern,plot_description,trend_prompt_path,trend_output_path,image_path,table_csv_path,success,error,validation_status
context,,,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/02_context/context_request.json,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/02_context/context_output.txt,,,True,,accepted
1,mean-incum,The attachment is the plot representing the average weekly consumption of whole milk per agent.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_01/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_01/trend_output.txt,,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_01/trend_evidence_table.txt,True,,accepted
2,mean-alt,The attachment is the plot representing the average weekly consumption of skimmed and semi-skimmed milk per agent.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_02/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_02/trend_output.txt,,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_02/trend_evidence_table.txt,True,,accepted
3,incum-total-try,The attachment is the plot representing the total number of times agents have chosen whole milk.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_03/trend_prompt.txt,,,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_03/trend_evidence_table.txt,False,model did not return valid structured JSON for the smoke output,retry
4,alt-total-try,The attachment is the plot representing the total number of times agents have chosen skimmed or semi-skimmed milk.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_04/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_04/trend_output.txt,,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_04/trend_evidence_table.txt,True,,accepted
5,choice-total,The attachment is the plot representing the total number of milk choices made by all agents combined.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_05/trend_prompt.txt,,,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_05/trend_evidence_table.txt,False,model did not return valid structured JSON for the smoke output,retry
6,mean [incum-quantity] of turtles,The attachment is the plot representing the mean quantity of whole milk consumed by agents.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_06/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_06/trend_output.txt,,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_06/trend_evidence_table.txt,True,,accepted
7,mean [alt-quantity] of turtles,The attachment is the plot representing the mean quantity of skimmed and semi-skimmed milk consumed by agents.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_07/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_07/trend_output.txt,,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_07/trend_evidence_table.txt,True,,accepted
8,mean [habit-factor-incum] of turtles,The attachment is the plot representing the mean factor applied to the whole milk choice function due to habit.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_08/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_08/trend_output.txt,,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_08/trend_evidence_table.txt,True,,accepted
9,mean [habit-factor-alt] of turtles,The attachment is the plot representing the mean factor applied to the skimmed and semi-skimmed milk choice function due to habit.,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_09/trend_prompt.txt,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_09/trend_output.txt,,results/kimi-k2.5_all_abms_chain/04_generation_smoke_latest/abms/milk_consumption/runs/run_20260313_104017_985703/cases/05_milk_consumption_role_table_rep1/03_trends/plot_09/trend_evidence_table.txt,True,,accepted
